Name,Full Address,Route 1,Route 2,Route 3,Route 4,Route 5,Route 6,Route 7,Latitude,Longitude
Waterford,"Unit 7, 6 Crossroads Business Park, Waterford",https://maps.app.goo.gl/wYibSv78YVpTAXDQ8,https://maps.app.goo.gl/aWAnaPJNdHRntYvh9,https://maps.app.goo.gl/MHdq5AySgcP9wZtTA,https://maps.app.goo.gl/n9xQUmWVCYe53i4T8,https://maps.app.goo.gl/ifChAn7SyLx4hu3y9,https://maps.app.goo.gl/uCMYAA4ac8nq9GrY6,https://maps.app.goo.gl/qTLbW75Du6VTpR5MA,52.2572983,-7.1115235
Shannon,"Treacy's Oakwood Hotel, Airport Road, Clare",https://maps.app.goo.gl/cWAHqf23gD7bzJ177,https://maps.app.goo.gl/UoxivmVqcBi8LNXWA,https://maps.app.goo.gl/ou2GWsxCJGx87Hi88,https://maps.app.goo.gl/XUcZL3Vv9WukLbYo6,https://maps.app.goo.gl/5cJGkVKevnoUSMNL6,https://maps.app.goo.gl/iA1or4VrwhLSMrtR9,https://maps.app.goo.gl/iFmzfstorAiVo24z9,52.712675,-8.8741931
Tralee,"Government Offices, Spa Road, Kerry",https://maps.app.goo.gl/JUgt2ZgW6PhNQvut8,https://maps.app.goo.gl/cHAnrtHP8jKZRSrr8,https://maps.app.goo.gl/w2834UPLDd493Svn9,https://maps.app.goo.gl/q2KucAmsMZcDsqdQ7,https://maps.app.goo.gl/g1TwQmSMPYnUrsqH8,https://maps.app.goo.gl/bp4JHkQ8uUxsxbLj9,https://maps.app.goo.gl/cRi7cz4t3FEB3XMf8,52.2693588367457,-9.718376492547204
Thurles,"Government Offices, Stradavoher, Tipperary",https://maps.app.goo.gl/fTFdRoNGjE3fjszg8,https://maps.app.goo.gl/SSJwwd5aL5qLaRLG6,https://maps.app.goo.gl/ouVE6py9Sez7nRNh7,https://maps.app.goo.gl/XgGJ7bPQUniHVRky5,https://maps.app.goo.gl/uWWTv7TmVqvzsYa69,https://maps.app.goo.gl/GAUDNJVHhLtVSQHU7,https://maps.app.goo.gl/kJmbUQjv3N4ajJ4H7,52.673332769631514,-7.819175694232635
Kilrush,"Kilrush Golf & Sports Clubhouse, Ennis Road, Clare",https://maps.app.goo.gl/vYNkdtmXcga4NEKv6,https://maps.app.goo.gl/sUMEzVZep1xDW5R99,https://maps.app.goo.gl/PpUVvcWTZ7MUeJo97,https://maps.app.goo.gl/GjCWEuq34Cd8tpfJA,https://maps.app.goo.gl/MqH14vxnXVpaXT1MA,https://maps.app.goo.gl/3JrVJf7RbmHbfdDL8,https://maps.app.goo.gl/giam9CTLYVyFM1wu8,52.64790750625941,-9.466202913180455
Nenagh,"Government Offices, St Conlon's Road, Tipperary",https://maps.app.goo.gl/MDjqV2XuUXGssis78,https://maps.app.goo.gl/S4TfBNzMSAZ8Kh1U9,https://maps.app.goo.gl/3XJyGjAg7CDswTJn9,https://maps.app.goo.gl/ZswCHcDoKg6Zi5VV9,https://maps.app.goo.gl/9hXw57ZJS55Q9D916,https://maps.app.goo.gl/j8hojh8D1EcNRZPZA,https://maps.app.goo.gl/XzFZDKTRH4m1Ft9d9,52.4736499,-8.1618004
Ennis,"New Government Offices, Kilrush Road, Clare",https://maps.app.goo.gl/Qbb8cjWx37QWbDWo6,https://maps.app.goo.gl/pLc5Ufn7ibDptQHf7,https://maps.app.goo.gl/uYBW9bfhBdee1W93A,https://maps.app.goo.gl/XpQ2PizpDCMXZ1AQ7,https://maps.app.goo.gl/gFwx7kzGeZXGAFf47,https://maps.app.goo.gl/CDUzcAnZ6JynehWZ9,https://maps.app.goo.gl/dR4fAWwV7hYuz1JPA,52.8368128531843,-8.99108043796578
Kilkenny (Govt Buildings),"Government Offices, Hebron Road, Kilkenny",https://maps.app.goo.gl/cUr8sbXsEwYKuXVf6,https://maps.app.goo.gl/URYoKLwV4x21k2bNA,https://maps.app.goo.gl/pPxvhDhmHYzHT91H6,https://maps.app.goo.gl/BH8GvNcrC4LkUxdNA,https://maps.app.goo.gl/X82vQLUVnpgqdjPV6,https://maps.app.goo.gl/z5giLX8JU1iAbMNp6,https://maps.app.goo.gl/2VPPZdxSJ8etwayv9,52.65624074065221,-7.243370339372153
Kilkenny (O'Loughlin Gaels),"O Loughlin Gaels GAA Club, Hebron Road, Kilkenny",https://maps.app.goo.gl/ypjkLzCVoqaF6PRC7,https://maps.app.goo.gl/R597qYTgsGVMmhay5,https://maps.app.goo.gl/M3XmUVe7xcgcgTKg6,https://maps.app.goo.gl/8GjsGaETuHWefAys5,https://maps.app.goo.gl/iMXLXCxFRL9yvFeG7,https://maps.app.goo.gl/o3m1RD4xLPKYj7Zs5,https://maps.app.goo.gl/95SqoNK4FGy2kQZm6,52.6591162,-7.2363248
Birr,"The Courtyard Office Centre', Emmet Street, Offaly",https://maps.app.goo.gl/fxqbpuacwhqzJ7416,https://maps.app.goo.gl/F1aiUker94m3UkLF7,https://maps.app.goo.gl/ZAc56hjaicBoZohw6,https://maps.app.goo.gl/ian9J49WcegRMxag9,https://maps.app.goo.gl/jRLotJyiCK3D8qfV7,https://maps.app.goo.gl/YpsnqYKaQoktWLD48,https://maps.app.goo.gl/uhrh2BzEZ37bLksf9,53.0977463,-7.9096473
Wexford,"Killeens, Beside Jeffares Osteopathic Clinic, Wexford",https://maps.app.goo.gl/zmygtbozctXYHeDRA,https://maps.app.goo.gl/rFUkuUzqGmgtdCuL6,https://maps.app.goo.gl/nN1VAnBwGqxDZ3pE7,https://maps.app.goo.gl/64BFBrik5J8Bre5v8,https://maps.app.goo.gl/MEZt5jX6Uzq6rWCy6,https://maps.app.goo.gl/EUvKn6pwq4xZczAj8,https://maps.app.goo.gl/33iTNaMWKnAQLhZr9,52.3203307,-6.4925502
Carlow,"Graiguecullen Driving Test Centre, Church Street (Beside Inver Filling Station), Carlow",https://maps.app.goo.gl/y1pBfNAyuCSKberh9,https://maps.app.goo.gl/3yRBd3JT7X86VDJY7,https://maps.app.goo.gl/ev1KRK4nGmZcra5y6,https://maps.app.goo.gl/JnncuBdu73fnCx9KA,https://maps.app.goo.gl/4MfGrMTHJX72ssdx8,https://maps.app.goo.gl/VsXFw36ADVLBxELM6,https://maps.app.goo.gl/nnv8dAqenDPw2JWF7,52.83991642536391,-6.946214197066758
